노화도 설계하는 시대가 온다 : AI와 바이오 혁명이 바꾸는 노화의 미래,"박상철,권순용,강시철 지음"
소풍을 빌려드립니다 : 복합문화공간 : 문하연 장편소설,지은이: 문하연
"음식은 넘쳐나고, 인간은 배고프다 : 바츨라프 스밀의 세계를 먹여 살리는 법",지은이: 바츨라프 스밀 ;옮긴이: 이한음
다정함이 인격이다 : 임상심리전문가 김선희가 전하는 다정함의 심리학,김선희 지음
언젠가 모든 것은 바다로 떨어진다 : 세라 핀스커 소설집,지은이: 세라 핀스커 ;옮긴이: 정서현
경이로운 한국인,장클로드 드크레센조 지음 ;이소영 옮김
"꽃을 공부합니다 : 가드너의 꽃, 문화, 그리고 과학 이야기",지은이: 박원순
AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,이헌주 지음
AI 시대 창의적 인간 : 인간은 어떻게 인공지능과 공존할 것인가,이시한 지음
대화를 한다는 것,피에르 쌍소 지음 ;이진희 옮김
단역배우 김순효 씨 : 이수정 장편소설,지은이: 이수정
감상의 심리학 : 예술 작품을 볼 때 머릿속에서는 무슨일이 벌어질까?,오성주 지음
나는 언제나 늙기를 기다려왔다,안드레아 칼라일 지음 ;양소하 옮김
100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,지은이: 스텐 오덴발드 ;옮긴이: 홍주연
"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",조병영 지음
스테로이드 인류 : 기적과 죽음의 연대기,백승만 지음
"철학으로 돌파하라 : 변화의 시대, 불안을 기대로 바꿔줄 43가지 지혜의 도구",안광복 지음
균형 잡힌 뇌 : 인공지능 시대가 버거운 당신에게,권택영 지음
데드 스페이스,칼리 월리스 ;옮긴이: 유혜인
시간의 지배자 : 사피엔스를 지구의 정복자로 만든 예지의 과학,"토머스 서든도프,조너선 레드쇼,애덤 벌리 지음 ;조은영 옮김"
살아갈 날들을 위한 괴테의 시,지은이: 김종원 ;일러스트: 황예나
(빼앗긴 집중력을 되찾고 당신의 뇌를 최적화할) 깊은 생각의 비밀,"김태훈,이윤형 지음"
"인간 문명의 네 가지 법칙 : 에너지, 혁신, 협력, 진화가 역사의 방향을 결정한다",마이클 무투크리슈나 지음; 박한선 옮김
숨 쉬는 것들은 어떻게든 진화한다 : 변화 가득한 오늘을 살아내는 자연 생태의 힘,마들렌 치게 지음 ;배명자 옮김
"왜 읽고 쓰고 걸어야 하는가 : 비고츠키, 진화학, 뇌과학, 마을교육공동체의 만남",김태정 지음
초연결 학교 : 세상을 품은 학교의 시대가 온다,함돈균 지음
상상하는 공학 진화하는 인간 : KAIST 기계공학과 교수들이 들려주는 첨단 기술의 오늘과 내일,KAIST 기계공학과 지음
텔로미어,박성신
"코끼리는 암에 걸리지 않는다 : 삶의 한계에 도전하는 동물들, 그 경이로움에 관하여",데이비드 B. 아구스 지음 ;허성심 옮김
나의 작은 나라 : 가엘 파유 장편소설,지은이: 가엘 파유 ;옮긴이: 김희진
"(교양인이 알아야 할) 음식의 역사 : 인류는 무엇을 어떻게 먹어왔을까, 그리고 미래에도 그렇게 먹을 수 있을까",자크 아탈리 지음 ;권지현 옮김
개미 오디세이 : 운명을 짊어진 개미의 여정,"오드레 뒤쉬투르,앙투안 비스트라크 지음 ;홍지인 옮김"
"제대로 연습하는 법 : 어학부터 스포츠까지, 인지심리학이 제시하는 배움의 기술",아투로 E. 허낸데즈 지음 ;방진이 옮김
빛이 이끄는 곳으로 : 백희성 장편소설,지은이: 백희성
지명발견록 : 우리 땅 이름의 숨겨진 이야기,이경교 지음
"침묵을 배우는 시간 : 말이 넘쳐나는 세상 속, 더욱 빛을 발하는 침묵의 품격",코르넬리아 토프 지음 ;장혜경 옮김
가위는 왜 가위처럼 생겼을까,"다나카 미유키,유키 치요코 지음 ;오쓰카 아야카 그림 ;이효진 옮김"
기술은 세상을 어떻게 바꾸는가 : 최초의 질문에서 패러다임이 되기까지,이정동 지음
오렌지와 빵칼 : 청예 장편소설,지은이: 청예
생각의 기술 : 바로 써먹는 논리학 사용법,코디정 지음
나에게 진실이라는 거짓을 맹세해,헬레네 플루드 지음 ;권도희 옮김
완벽이라는 중독 : 불안한 완벽주의자를 위한 심리학,토머스 커런 지음 ;김문주 옮김
일생에 한번은 헌법을 읽어라 : 흔들릴 때마다 삶의 중심을 잡아주는 기준에 관하여,이효원 지음
위대한 관찰 : 곤충학자이길 거부했던 자연주의자 장 앙리 파브르의 말과 삶,조르주 빅토르 르그로 지음 ; 김숲 옮김
내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,페터 베르 지음 ;장혜경 옮김
"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",강지나 지음
뭉크의 별이 빛나는 밤 : 고독 속 절규마저 빛나는 순간,이미경 지음
고층 입원실의 갱스터 할머니,지은이: 양유진
세상에서 가장 긴 행복 탐구 보고서 : '행복의 조건'을 찾는 하버드의 연구는 지금도 계속된다,"로버트 월딩거,마크 슐츠 지음 ;박선령 옮김"
남겨진 것들의 기록 : 유품정리사가 써내려간 떠난 이들의 뒷모습,"김새별,전애원 지음"
(쇼펜하우어의) 고독한 행복,아르투어 쇼펜하우어 지음 ;우르줄라 미헬스 벤츠 엮음 ;홍성광 옮김
"외로움의 습격 : 모두, 홀로 남겨질 것이다",김만권 지음
공감사회를 위한 담론들,강황선 지음
쓸데없는 걱정으로 준비된 체력이 소진되었습니다 : 쉽게 불안해하는 당신을 위한 걱정 끊기의 기술,이광민 지음
윈터 씨의 해빙기 : 슈테판 쿨만 장편소설,지은이: 슈테판 쿨만 ;옮긴이: 양혜영
이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,안예슬 지음
재뉴어리의 푸른 문 : 앨릭스 E. 해로우 장편소설,지은이: 앨릭스 E. 해로우 ; 옮긴이: 노진선
"AGI 시대와 인간의 미래 : 챗GPT 이후의 삶, 일자리 그리고 교육",맹성현 지음
쓰게 될 것 : 최진영 소설집,최진영
(조용하고 끈질기게 살아남은) 잡초들의 전략,이나가키 히데히로 지음 ;이정환 옮김
